"","informfully_id","Duration..in.seconds.","informed_consent","pol_int","pol_pos_1","pol_eff_1","pol_eff_2","pol_eff_3","pol_eff_4","pol_eff_5","iss_imp","env_int","nws_app","nws_int","env_new","env_dis","alg_pre_1","alg_pre_2","alg_pre_3","alg_pre_4","alg_pre_5","jou_pre_1","jou_pre_2","jou_pre_3","ata_pos_1","ata_pos_2","ata_pos_3","ata_pos_4","ata_pos_5","ata_pos_6","ata_pos_7","ata_pos_8","ata_pos_9","ata_pos_10","ata_pos_11","ata_pos_12","ata_neg_1","ata_neg_2","ata_neg_3","ata_neg_4","ata_neg_5","ata_neg_6","ata_neg_7","ata_neg_8","div_val_1","div_val_2","div_val_3","div_val_4","div_val_5","div_val_6","div_val_7","inf_ovr_1","inf_ovr_2","inf_ovr_3","inf_ovr_4","inf_ovr_5","inf_ovr_6","top_int_1","top_int_2","top_int_3","top_int_4","top_int_5","top_int_6","top_int_7","top_int_8","top_int_9","top_int_10","top_int_11","top_int_12","top_int_13","experimental_group_w1","personalisation","took_survey_week1","took_survey_week2","pol_eff_1_r","pol_eff","alg_pre","jou_pre","inf_ovr","ata_pos","ata_neg","div_val","experimental_group_w2"
"11","2orZT4LcAXyi3CRwW",319,1,6,4,2,5,5,4,5,7,7,2,3,1,3,5,6,4,4,6,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,5,6,6,7,7,6,5,7,5,5,3,5,7,6,7,5,2,7,7,7,7,3,3,6,5,7,3,"thu_edi",1,1,"6",5,5,3,5.33333333333333,1,7,6,4
"12","2QaNpZLeRdnLJXQGM",511,1,5,6,5,6,4,2,5,6,6,2,3,1,2,6,6,6,6,5,3,2,4,3,5,5,6,3,5,5,2,6,4,2,2,4,5,4,3,5,5,5,4,7,7,7,7,7,7,7,6,5,6,6,6,5,6,6,6,1,6,6,6,6,1,5,6,6,6,3,"wed_exp",1,1,"3",4,5.8,3,5.66666666666667,4,4.375,7,1
"13","2S9PEHkLaaKNnCCJQ",411,1,6,6,4,5,5,6,5,6,5,2,7,3,2,5,3,5,4,3,3,3,3,3,7,5,5,4,4,5,6,7,4,3,5,5,4,5,5,4,3,3,5,5,6,5,5,6,6,6,4,2,5,5,4,3,5,4,5,6,5,4,6,5,5,6,6,5,5,2,"thu_edi",1,1,"4",5,4,3,3.83333333333333,4.83333333333333,4.25,5.57142857142857,1
"14","2vSbi8uoJfvXm2Gqs",391,1,5,3,5,5,5,2,5,6,6,2,2,1,2,7,6,7,5,6,5,6,5,3,2,6,6,5,5,4,1,6,3,1,1,4,5,6,3,5,6,6,4,7,6,7,5,5,7,6,5,5,5,5,7,5,4,7,5,1,6,6,6,4,1,4,6,6,6,4,"wed_edi",1,1,"3",4,6.2,5.33333333333333,5.33333333333333,3.58333333333333,4.875,6.14285714285714,4
"15","2xowSk5fS22GMFqZk",757,1,7,2,1,6,7,3,6,7,6,1,7,5,3,2,2,3,2,1,5,3,5,5,6,6,7,6,6,7,3,6,7,6,5,5,5,2,2,5,2,2,4,7,7,2,6,6,6,7,2,1,6,5,2,2,6,5,3,2,3,1,7,5,4,6,6,7,6,4,"thu_imp",1,1,"7",5.8,2,4.33333333333333,3,5.83333333333333,3.375,5.85714285714286,1
"16","39NYCzHBZgSoEJHX5",1288,1,5,3,6,3,3,6,6,7,5,2,2,1,1,6,6,3,2,3,2,1,2,4,2,5,5,5,5,5,4,5,5,4,4,3,3,4,4,4,2,3,5,7,7,6,7,6,6,6,5,5,6,1,2,6,3,6,6,1,5,5,5,5,2,5,6,6,6,2,"thu_imp",1,1,"2",4,4,1.66666666666667,4.16666666666667,4.41666666666667,3.5,6.42857142857143,1
"17","3CLGMD38GvBeeahDt",515,1,6,5,1,7,7,7,7,7,7,1,7,8,8,7,7,6,7,7,7,6,7,5,7,7,7,7,7,7,3,7,4,7,5,3,7,7,7,5,3,7,4,7,7,7,7,7,7,7,5,1,3,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,"thu_edi",1,1,"7",7,6.8,6.66666666666667,4.33333333333333,6.08333333333333,5.375,7,4
"18","3dJfQkAvZaXp4eeBD",755,1,4,2,5,3,2,5,4,7,6,2,1,1,3,5,6,6,4,5,5,4,6,4,6,6,6,4,6,7,5,6,6,6,4,6,5,3,3,4,4,5,4,6,6,5,6,6,6,3,7,5,6,5,6,6,1,7,6,1,5,5,2,4,3,4,6,4,6,1,"thu_edi",0,0,"3",3.4,5.2,5,5.83333333333333,5.5,4.25,5.42857142857143,NA
"19","3KEeFyHN4ZfovWb7u",269,1,6,3,7,5,5,5,5,5,3,1,7,2,2,4,1,2,1,3,6,4,5,2,5,4,5,2,5,5,4,5,4,5,6,5,5,5,6,7,6,5,4,6,6,6,6,6,6,4,7,7,7,7,7,7,2,3,6,1,5,4,6,3,1,1,6,6,2,4,"thu_exp",1,1,"1",4.2,2.2,5,7,4.33333333333333,5.375,5.71428571428571,1
"20","3pPkcyT7v3WYSEqiz",2293,1,5,3,3,5,4,6,6,7,6,2,5,5,3,5,7,5,4,6,5,2,5,6,4,5,5,5,5,5,2,5,4,5,3,5,2,3,3,5,2,4,4,6,5,7,7,6,6,6,2,2,5,5,4,2,6,5,5,5,5,6,5,4,5,4,7,6,6,1,"thu_exp",0,0,"5",5.2,5.4,4,3.33333333333333,4.5,3.5,6.14285714285714,1
"21","3SzvJyujtBTWtZpNm",557,1,7,7,1,6,5,5,7,4,3,2,7,3,1,5,2,5,1,2,6,5,7,7,6,5,5,5,6,6,4,7,3,5,5,3,7,1,1,2,1,2,6,7,7,3,5,6,6,5,3,1,5,3,2,5,6,6,7,1,5,7,7,7,2,7,7,7,3,4,"wed_edi",1,1,"7",6,3,6,3.16666666666667,5.33333333333333,2.875,5.57142857142857,4
"22","44LegAqixZv4EwEvX",331,1,5,4,5,3,2,2,2,7,6,2,7,6,3,5,3,5,2,4,3,3,3,5,3,3,5,4,5,5,5,5,5,5,2,5,3,3,5,4,4,3,5,6,6,6,5,5,6,6,4,2,4,5,4,3,3,3,5,2,6,6,3,6,3,6,6,6,6,1,"wed_imp",1,1,"3",2.4,3.8,3,3.66666666666667,4.33333333333333,4,5.71428571428571,1
"23","46FhZbexNguHpgueb",594,1,6,3,3,5,5,4,5,7,6,1,6,7,6,2,5,2,2,2,3,3,4,2,4,4,5,5,4,5,2,5,3,3,5,5,5,4,2,5,5,5,5,7,7,7,7,7,7,6,4,3,5,5,4,4,5,6,7,2,6,6,5,6,3,6,7,6,7,1,"thu_exp",1,1,"5",4.8,2.6,3.33333333333333,4.16666666666667,3.91666666666667,4.5,6.85714285714286,1
"24","4aXWCzufGWRvGm9Ec",2352,1,6,4,2,6,3,6,5,5,5,1,7,4,2,2,1,2,2,6,5,5,5,6,6,2,7,5,5,3,5,7,5,5,5,4,4,2,6,4,5,5,6,7,7,7,7,7,5,7,6,2,6,7,5,2,6,5,3,7,5,4,5,5,6,7,7,7,4,1,"thu_imp",1,1,"6",5.2,2.6,5,4.66666666666667,5.08333333333333,4.5,6.71428571428571,1
"25","4bPpte4GmjDgzt3dE",370,1,5,7,2,5,4,5,5,3,4,1,7,3,2,5,5,5,1,3,2,1,2,7,7,2,6,7,5,7,5,7,5,6,4,5,3,5,3,3,2,4,5,6,6,6,5,6,7,7,2,2,7,6,7,1,5,6,5,5,4,4,5,5,4,5,6,6,5,2,"wed_imp",1,1,"6",5,3.8,1.66666666666667,4.16666666666667,5.66666666666667,3.75,6.14285714285714,1
"26","4d2GTB8wpfxTLP83D",316,1,6,7,5,6,4,4,5,7,6,2,5,1,2,3,3,5,4,3,3,3,3,5,5,5,5,5,5,5,4,5,5,5,5,3,4,4,4,4,5,3,5,6,6,6,6,6,6,6,6,3,7,3,6,4,7,4,4,3,5,5,5,5,7,6,6,7,6,3,"thu_imp",1,1,"3",4.4,3.6,3,4.83333333333333,4.91666666666667,4,6,1
"27","4LDijmFhRn3cubjH5",290,1,6,2,3,5,4,2,5,6,6,1,7,4,3,5,6,5,5,5,5,3,5,2,5,6,6,5,6,6,5,7,6,6,6,3,3,2,2,4,2,2,6,6,6,6,5,5,6,5,6,5,6,6,6,4,7,7,6,7,4,6,6,6,6,7,6,5,6,2,"thu_imp",1,1,"5",4.2,5.2,4.33333333333333,5.5,5.5,3,5.57142857142857,1
"28","4nCqjsvRHbskQGyRa",23857,1,5,1,4,4,1,2,4,1,6,2,0,2,2,7,5,6,5,4,3,2,3,5,4,4,5,3,4,5,1,6,2,5,2,3,7,2,1,6,1,5,2,7,7,7,7,7,7,6,5,5,5,5,2,4,1,6,7,1,5,5,4,4,1,4,4,4,6,3,"wed_edi",1,1,"4",3,5.4,2.66666666666667,4.33333333333333,3.83333333333333,3.375,6.85714285714286,4
"29","4xApn9fiNmzp9XtHS",370,1,2,5,3,3,3,3,3,3,3,1,7,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,5,5,4,4,4,5,5,5,5,5,4,4,6,6,6,5,7,7,6,3,3,6,6,7,7,4,1,"thu_exp",1,1,"5",3.4,4,4,4.83333333333333,4.08333333333333,4,4.57142857142857,1
"30","4ZMKL54odpx3Zkikj",462,1,6,7,3,5,5,5,5,1,1,2,7,1,1,5,5,4,3,5,4,3,4,5,6,6,6,7,7,7,6,7,5,6,4,3,4,2,5,2,4,3,6,7,6,6,6,7,5,6,4,1,4,2,3,2,6,5,7,5,7,7,6,7,5,7,7,6,1,2,"thu_edi",1,1,"5",5,4.4,3.66666666666667,2.66666666666667,6,3.625,6.14285714285714,1
"31","4zwfSBi45hfEKPo8c",961,1,3,5,5,5,2,4,4,5,4,2,3,1,1,2,2,1,1,1,5,4,5,2,6,3,5,3,4,5,4,5,4,3,2,5,4,5,1,5,3,3,2,4,6,6,4,4,6,6,1,2,6,2,1,3,5,4,4,2,5,5,1,3,3,4,7,7,2,1,NA,0,0,"3",3.6,1.4,4.66666666666667,2.5,3.83333333333333,3.5,5.14285714285714,NA
"32","55zf7myh2Md7vykEa",382,1,6,4,1,6,6,6,7,7,6,2,7,5,6,5,5,5,2,3,2,2,4,2,5,3,5,4,3,4,2,5,5,3,4,5,4,5,6,6,5,2,5,7,7,7,7,7,7,7,2,2,6,4,3,2,7,5,6,7,7,5,6,5,5,6,6,6,6,4,"thu_exp",1,1,"7",6.4,4,2.66666666666667,3.16666666666667,3.75,4.75,7,1
"33","5bNipF3Fqna95gqRW",4814,1,6,3,5,5,6,3,6,6,5,2,7,3,1,6,5,5,5,3,5,4,5,7,7,5,7,7,6,7,7,6,7,7,7,5,3,2,5,2,1,1,5,7,6,6,7,7,6,6,7,5,6,5,5,6,3,1,5,7,5,4,5,7,7,7,5,6,6,1,"wed_edi",1,1,"3",4.6,4.8,4.66666666666667,5.66666666666667,6.66666666666667,3,6.42857142857143,2
"34","5CoCvbqgJjZPqGbp2",1069,1,7,9,2,7,6,6,7,7,7,1,7,8,6,7,7,7,7,7,7,7,7,6,7,6,7,6,7,7,6,7,6,6,6,2,1,2,3,2,2,1,3,7,7,7,7,7,7,7,1,1,1,2,1,1,7,6,6,7,7,6,7,6,7,7,7,7,7,1,"wed_exp",1,1,"6",6.4,7,7,1.16666666666667,6.41666666666667,2,7,1
"35","5jdEEMqSKjuHTC2XL",1464,1,6,3,2,6,6,6,6,6,5,1,7,4,2,1,2,1,1,1,2,1,2,4,5,5,5,5,5,6,5,6,5,5,5,4,5,3,3,5,5,3,3,6,6,3,5,5,6,6,5,2,6,3,1,2,5,5,5,2,6,5,6,6,2,6,6,6,5,2,"thu_exp",1,1,"6",6,1.2,1.66666666666667,3.16666666666667,5.08333333333333,3.875,5.28571428571429,1
"36","5KGm3v6TQCHnNeY37",540040,1,2,10,7,5,1,7,2,7,7,1,0,1,2,1,1,1,1,1,2,1,5,1,2,1,2,1,1,3,4,5,1,3,1,6,7,2,6,6,6,6,6,7,7,7,5,6,7,7,2,2,2,2,2,2,6,1,3,3,7,7,1,3,4,4,4,5,7,1,NA,0,0,"1",3.2,1,2.66666666666667,2,2.08333333333333,5.625,6.57142857142857,NA
"37","5of4ooQsCgxLCqr74",798,1,5,8,5,6,3,3,6,3,3,1,5,1,1,5,5,7,5,6,5,3,4,4,5,5,7,5,6,5,5,4,3,5,5,4,4,1,5,2,4,2,3,6,7,7,6,6,7,6,1,2,5,4,3,2,3,5,4,7,7,5,6,7,7,5,6,7,3,2,"wed_exp",1,1,"3",4.2,5.6,4,2.83333333333333,4.91666666666667,3.125,6.42857142857143,1
"38","5oqR5R9wTuStAEHxz",712,1,4,5,2,3,5,5,4,2,2,1,6,4,2,5,3,5,2,2,2,3,4,6,3,4,2,1,1,2,2,4,2,3,3,3,3,4,2,5,2,3,5,5,5,5,5,5,5,5,2,3,4,2,2,2,1,6,4,7,4,2,5,5,7,4,5,4,2,4,"thu_exp",0,0,"6",4.6,3.4,3,2.5,2.75,3.375,5,1
"39","5P5gputHunnEhMsxm",573,1,5,7,5,5,5,6,6,5,5,2,2,6,4,5,5,5,5,5,5,5,5,1,3,5,6,4,6,6,4,5,4,6,6,3,4,3,4,4,3,4,5,5,6,7,5,7,5,4,6,3,4,3,4,6,5,3,6,3,5,5,6,6,6,7,6,7,6,1,"thu_exp",1,1,"3",5,5,5,4.33333333333333,4.66666666666667,3.75,5.57142857142857,1
"40","5p6yfdZreeeafBC6n",177,1,5,7,5,5,5,4,5,5,4,1,1,4,3,2,3,3,5,6,2,3,4,4,3,5,3,3,3,3,2,4,4,3,3,3,3,3,2,3,3,4,3,5,4,4,3,3,3,5,5,4,5,5,5,5,1,4,3,2,4,3,2,3,3,4,5,5,5,3,"thu_imp",1,1,"3",4.4,3.8,3,4.83333333333333,3.33333333333333,3,3.85714285714286,1
"41","5p7qx88m4f8snEe6t",522,1,6,5,3,5,4,5,6,6,7,2,2,3,4,1,1,2,1,1,5,4,5,2,4,2,5,2,4,4,1,3,2,1,1,4,4,4,3,4,5,5,5,7,7,7,7,7,7,7,6,4,7,7,6,5,5,4,4,3,7,6,7,6,4,5,6,6,7,1,"thu_exp",1,1,"5",5,1.2,4.66666666666667,5.83333333333333,2.58333333333333,4.25,7,1
"42","5s5kfQ8KmLkQB26NJ",730,1,5,5,1,5,5,6,5,6,6,1,5,1,1,2,2,5,4,3,2,2,2,1,5,3,6,6,5,6,6,6,2,1,6,3,4,2,5,4,2,2,4,7,7,1,7,7,7,1,2,1,5,2,2,1,6,5,5,1,5,6,5,3,1,6,5,6,6,2,"thu_exp",1,0,"7",5.6,3.2,2,2.16666666666667,4.41666666666667,3.25,5.28571428571429,1
"43","5sciKhiS6ckvsJqCx",611,1,7,5,2,7,7,4,6,6,6,1,7,8,4,2,4,2,2,2,5,3,3,2,4,4,4,3,4,5,3,4,2,3,2,4,5,4,4,5,4,3,4,6,7,6,6,7,7,6,2,2,4,5,3,1,6,5,5,6,6,6,7,6,6,6,5,6,6,1,"wed_exp",1,1,"6",6,2.4,3.66666666666667,2.83333333333333,3.33333333333333,4.125,6.42857142857143,1
"44","5TarhnoPf8C2n8Q9X",487,1,6,4,5,6,5,5,4,5,5,1,3,1,4,3,2,5,2,2,1,1,2,1,1,1,5,2,2,1,1,3,1,1,2,5,5,6,7,6,7,5,6,5,6,6,6,5,5,5,4,4,3,3,5,3,5,6,5,5,6,3,5,5,5,5,6,6,4,4,"thu_imp",1,1,"3",4.6,2.8,1.33333333333333,3.66666666666667,1.75,5.875,5.42857142857143,1
"45","5vn5hdNLhcfq22dGt",485,1,7,5,3,6,4,6,5,7,6,2,7,3,1,1,2,4,1,2,1,1,1,3,5,3,6,5,4,5,1,5,4,3,3,5,5,6,5,6,6,6,7,7,7,7,7,6,6,7,3,3,5,3,3,3,2,7,7,6,7,6,7,6,7,3,7,7,6,3,"thu_imp",1,1,"5",5.2,2,1,3.33333333333333,3.91666666666667,5.75,6.71428571428571,1
